entidad	nom_ent	mun	nom_mun	pobtot
1	Aguascalientes	8	San José de Gracia	8443
4	Campeche	7	Palizada	8352
4	Campeche	8	Tenabo	9736
5	Coahuila de Zaragoza	1	Abasolo	1070
5	Coahuila de Zaragoza	5	Candela	1808
5	Coahuila de Zaragoza	8	Escobedo	2901
5	Coahuila de Zaragoza	12	Guerrero	2091
5	Coahuila de Zaragoza	13	Hidalgo	1852
5	Coahuila de Zaragoza	14	Jiménez	9935
5	Coahuila de Zaragoza	15	Juárez	1599
5	Coahuila de Zaragoza	16	Lamadrid	1835
5	Coahuila de Zaragoza	19	Morelos	8207
5	Coahuila de Zaragoza	21	Nadadores	6335
5	Coahuila de Zaragoza	26	Progreso	3473
5	Coahuila de Zaragoza	29	Sacramento	2314
5	Coahuila de Zaragoza	34	Sierra Mojada	6375
5	Coahuila de Zaragoza	37	Villa Unión	6289
6	Colima	6	Ixtlahuacán	5300
6	Colima	8	Minatitlán	8174
7	Chiapas	7	Amatenango del Valle	8728
7	Chiapas	10	Bejucal de Ocampo	7623
7	Chiapas	18	Coapilla	8444
7	Chiapas	25	Chapultenango	7332
7	Chiapas	28	Chiapilla	5405
7	Chiapas	29	Chicoasén	5018
7	Chiapas	33	Francisco León	7000
7	Chiapas	36	La Grandeza	7272
7	Chiapas	45	Ixtapangajoya	5478
7	Chiapas	50	La Libertad	4974
7	Chiapas	53	Mazapa de Madero	7793
7	Chiapas	55	Metapa	5033
7	Chiapas	58	Nicolás Ruíz	4317
7	Chiapas	63	Osumacinta	3792
7	Chiapas	73	Rayón	9002
7	Chiapas	84	Solosuchiapa	8065
7	Chiapas	85	Soyaló	9740
7	Chiapas	88	Sunuapa	2235
7	Chiapas	90	Tapalapa	4121
7	Chiapas	98	Totolapa	6375
7	Chiapas	110	San Lucas	6734
7	Chiapas	113	Aldama	5072
7	Chiapas	116	Marqués de Comillas	9856
7	Chiapas	117	Montecristo de Guerrero	6900
7	Chiapas	118	San Andrés Duraznal	4545
7	Chiapas	119	Santiago el Pinar	3245
8	Chihuahua	3	Allende	8409
8	Chihuahua	6	Bachíniva	6011
8	Chihuahua	12	Carichí	8795
8	Chihuahua	14	Coronado	2284
8	Chihuahua	15	Coyame del Sotol	1681
8	Chihuahua	16	La Cruz	3982
8	Chihuahua	18	Cusihuiriachi	5414
8	Chihuahua	20	Chínipas	8441
8	Chihuahua	22	Dr. Belisario Domínguez	2911
8	Chihuahua	23	Galeana	5892
8	Chihuahua	24	Santa Isabel	3937
8	Chihuahua	25	Gómez Farías	8624
8	Chihuahua	26	Gran Morelos	3209
8	Chihuahua	28	Guadalupe	6458
8	Chihuahua	30	Guazapares	8998
8	Chihuahua	33	Huejotitán	1049
8	Chihuahua	34	Ignacio Zaragoza	6934
8	Chihuahua	38	Julimes	4953
8	Chihuahua	39	López	4025
8	Chihuahua	41	Maguarichi	1921
8	Chihuahua	42	Manuel Benavides	1601
8	Chihuahua	43	Matachí	3104
8	Chihuahua	44	Matamoros	4499
8	Chihuahua	46	Morelos	8343
8	Chihuahua	47	Moris	5312
8	Chihuahua	49	Nonoava	2849
8	Chihuahua	51	Ocampo	7546
8	Chihuahua	53	Praxedis G. Guerrero	4799
8	Chihuahua	54	Riva Palacio	8012
8	Chihuahua	56	Rosario	2235
8	Chihuahua	57	San Francisco de Borja	2290
8	Chihuahua	58	San Francisco de Conchos	2983
8	Chihuahua	59	San Francisco del Oro	4753
8	Chihuahua	61	Satevó	3662
8	Chihuahua	63	Temósachic	6211
8	Chihuahua	64	El Tule	1869
8	Chihuahua	66	Uruachi	8200
8	Chihuahua	67	Valle de Zaragoza	5105
10	Durango	2	Canelas	4122
10	Durango	3	Coneto de Comonfort	4530
10	Durango	10	Hidalgo	4265
10	Durango	11	Indé	5280
10	Durango	17	Ocampo	9626
10	Durango	19	Otáez	5208
10	Durango	25	San Bernardo	3433
10	Durango	27	San Juan de Guadalupe	5947
10	Durango	29	San Luis del Cordero	2181
10	Durango	30	San Pedro del Gallo	1709
10	Durango	31	Santa Clara	7003
10	Durango	33	Súchil	6761
10	Durango	37	Topia	8581
11	Guanajuato	6	Atarjea	5610
11	Guanajuato	34	Santa Catarina	5120
11	Guanajuato	36	Santiago Maravatío	6670
12	Guerrero	5	Alpoyeca	6637
12	Guerrero	8	Atenango del Río	8390
12	Guerrero	9	Atlamajalcingo del Monte	5706
12	Guerrero	24	Cualác	7007
12	Guerrero	26	Cuetzala del Progreso	9166
12	Guerrero	31	General Canuto A. Neri	6301
12	Guerrero	37	Ixcateopan de Cuauhtémoc	6603
12	Guerrero	47	Pedro Ascencio Alquisiras	6978
12	Guerrero	63	Tlacoapa	9967
